id,postal_code,latitude,longitude
573250,PE28 3XU,52.355282,0.010316
573426,PE28 3AT,52.385118,-0.123196
574075,PE28 0BN,52.281472,-0.295626
574186,PE28 0JZ,52.329934,-0.404346
574597,PE27 5BH,52.32229,-0.070014
575028,PE25 3QP,53.144142,0.333438
575429,PE25 2AG,53.144196,0.337916
575436,PE25 2AT,53.145381,0.340718
576008,PE24 4TU,53.184307,0.300404
576125,PE23 5QP,53.153255,0.181112
576329,PE23 5AF,53.154119,0.083367
576341,PE23 5AY,53.131603,0.102955
576410,PE23 5HG,53.171108,0.092704
576569,PE23 4AH,53.126373,0.0372
576611,PE23 4EF,53.178475,0.036483
576657,PE23 4HL,53.161491,0.013839
576671,PE23 4JN,53.203801,0.070473
576854,PE22 7PB,53.147786,-0.081267
576932,PE22 7PP,53.162075,-0.049832
578139,PE21 6NA,52.979331,-0.024267
578314,PE21 7BA,52.954595,-0.041207
578561,PE20 3SB,52.994522,-0.083952
578625,PE20 2BW,52.882564,-0.044941
578641,PE20 2ED,52.905692,-0.096981
579693,PE2 6FT,52.551846,-0.32548
579710,PE2 6LR,52.551199,-0.319752
579776,PE2 6WA,52.540048,-0.320827
580160,PE19 6UE,52.193707,-0.199918
580635,PE19 5GH,52.276675,-0.215541
581117,PE19 2AF,52.227202,-0.270383
581260,PE16 6UJ,52.477707,0.036919
581412,PE16 6BE,52.455216,0.049998
581482,PE16 6GX,52.443972,0.044532
581928,PE15 0SR,52.493823,0.054798
582025,PE15 0AF,52.564399,0.04479
582117,PE15 8DH,52.552511,0.073765
582138,PE15 0DE,52.543996,0.105883
582452,PE14 7QW,52.716489,0.234811
582548,PE14 7SN,52.681136,0.251839
582587,PE14 8DD,52.641205,0.208001
582758,PE14 7AG,52.686311,0.175164
583265,PE13 4AD,52.612035,0.021703
583360,PE13 4HN,52.625008,0.02766
583449,PE13 3DQ,52.669475,0.167036
583827,PE13 1AW,52.666427,0.160127
584920,PE12 6HW,52.80743,-0.10901
584975,PE12 6LQ,52.861168,-0.034791
585097,PE12 0LR,52.704751,0.023973
585109,PE12 0NS,52.693444,-0.012924
585141,PE11 4PL,52.885592,-0.175076
585301,PE11 4XP,52.90851,-0.202888
585448,PE11 3YR,52.8057,-0.144084
585711,PE11 3QJ,52.806581,-0.241476
585846,PE11 2UH,52.77491,-0.164721
586218,PE11 2PB,52.785502,-0.148008
586405,PE11 1TB,52.78758,-0.150381
586446,PE10 9SA,52.771866,-0.390383
586520,PE11 1AE,52.786453,-0.152895
586521,PE11 1AF,52.786217,-0.152727
586558,PE10 0UD,52.829471,-0.360409
586849,PE10 0ND,52.800564,-0.453969
588058,PA9 1DE,55.770224,-4.553967
588274,PE1 1NG,52.5702,-0.246249
588555,PA75 6PS,56.626984,-6.068084
588620,PA77 6XA,56.519875,-6.916251
588628,PA60 7XB,55.840523,-5.949219
588692,PA78 6TE,56.661732,-6.535986
588878,PA6 7BD,55.867168,-4.52187
589687,PA42 7BJ,55.629784,-6.182991
589917,PA4 8WF,55.872401,-4.367705
589954,PA4 9AF,55.878431,-4.446751
590494,PA35 1HW,56.427595,-5.233155
590542,PA34 4QB,56.413559,-5.439306
590874,PA34 4BD,56.411768,-5.471936
590941,PA31 8PA,55.935981,-5.591874
590952,PA31 8PQ,55.976803,-5.677909
591043,PA31 8RH,56.182473,-5.432644
591970,PA28 6PT,55.423016,-5.722906
592087,PA29 6TW,55.864283,-5.415171
592099,PA29 6UL,55.862868,-5.414735
592270,PA28 6EH,55.428344,-5.60101
592284,PA28 6GA,55.451709,-5.693974
592904,PA22 3AF,55.986973,-5.203003
592910,PA22 3AS,55.917769,-5.138072
593890,PA2 6QL,55.830056,-4.422184
596149,PA13 4ET,55.894341,-4.627447
596514,PA12 4HP,55.811801,-4.597394
596581,PA12 4LB,55.817038,-4.650854
597383,OX9 7EH,51.67854,-0.985162
597628,OX9 3RE,51.724194,-0.937768
597696,OX9 3WT,51.746241,-0.97363
597926,OX7 6XJ,51.904581,-1.663247
597929,OX7 6XQ,51.902654,-1.646748
597981,OX7 7BU,51.927194,-1.366551
597997,OX7 7DQ,51.940172,-1.342567
598009,OX7 7EN,51.958605,-1.370955
598357,OX7 5TJ,51.950873,-1.487902
598455,OX7 6AN,51.865541,-1.561659
598505,OX7 6EA,51.853124,-1.592008
598776,OX7 4AT,51.979102,-1.47123
598800,OX7 4DN,51.95879,-1.403025
599038,OX5 2SQ,51.824229,-1.234972
599209,OX5 3DH,51.85575,-1.270083
599216,OX5 3DS,51.844268,-1.25555
599264,OX5 2DH,51.823227,-1.289163
599276,OX5 3EU,51.885261,-1.285007
